fecha,region,canal,categoria,visitas,clientes,unidades,importe
2026-05-01,Centro,web,Moda,210,68,3,304.07
2026-05-01,Centro,web,Hogar,107,7,40,2151.99
2026-05-01,Centro,web,Alimentación,200,6,27,4366.97
2026-05-01,Centro,web,Deporte,442,47,48,13696.97
2026-05-01,Centro,tienda,Electrónica,355,29,24,11000.53
2026-05-01,Centro,tienda,Moda,222,24,1,54.05
2026-05-01,Centro,tienda,Hogar,420,91,15,3004.2
2026-05-01,Centro,tienda,Alimentación,391,55,25,2360.5
2026-05-01,Centro,tienda,Deporte,107,26,49,1858.43
2026-05-01,Centro,telefono,Electrónica,493,105,33,13773.45
2026-05-01,Centro,telefono,Moda,152,8,6,268.84
2026-05-01,Centro,telefono,Hogar,360,44,16,7814.54
2026-05-01,Centro,telefono,Alimentación,194,60,19,
2026-05-01,Centro,telefono,Deporte,166,27,9,3154.32
2026-05-01,Centro,app,Electrónica,288,38,32,9076.12
2026-05-01,Centro,app,Moda,422,5,16,4288.23
2026-05-01,Centro,app,Hogar,398,123,3,416.73
2026-05-01,Centro,app,Alimentación,234,33,14,896.89
2026-05-01,Centro,app,Deporte,495,148,26,10046.79
2026-05-01,Centro,desconocido,Electrónica,303,27,10,4755.9
2026-05-01,Centro,desconocido,Moda,443,100,1,278.9
2026-05-01,Centro,desconocido,Hogar,385,6,49,21376.52
2026-05-01,Centro,desconocido,Alimentación,445,128,33,7918.73
2026-05-01,Centro,desconocido,Deporte,372,69,33,10979.52
2026-05-01,Este,web,Electrónica,61,18,2,77.4
2026-05-01,Este,,Moda,139,12,29,12340.66
2026-05-01,Este,web,Hogar,154,11,4,1410.35
2026-05-01,Este,web,Alimentación,425,40,25,10141.77
2026-05-01,Este,web,Deporte,457,103,48,3901.97
2026-05-01,Este,tienda,Electrónica,200,36,37,4977.48
2026-05-01,Este,tienda,Moda,404,109,30,13596.76
2026-05-01,Este,,Hogar,391,17,19,3929.52
2026-05-01,Este,tienda,Alimentación,125,13,7,3354.85
2026-05-01,Este,tienda,Deporte,416,20,5,803.71
2026-05-01,Este,telefono,Electrónica,102,27,16,6384.27
2026-05-01,Este,telefono,Moda,472,146,31,1451.36
2026-05-01,Este,telefono,Hogar,380,22,47,4165.89
2026-05-01,Este,telefono,Alimentación,302,11,46,16397.4
2026-05-01,Este,telefono,Deporte,171,6,5,1331.98
2026-05-01,Este,app,Electrónica,414,69,22,9023.16
2026-05-01,Este,app,Moda,181,40,6,2159.56
2026-05-01,Este,app,Hogar,216,23,39,8912.94
2026-05-01,Este,app,Alimentación,175,24,28,10871.1
2026-05-01,Este,app,Deporte,436,96,49,2929.6
2026-05-01,Este,desconocido,Electrónica,107,36,45,1832.25
2026-05-01,Este,desconocido,Moda,252,40,35,12382.91
2026-05-01,Este,desconocido,Hogar,354,18,15,3572.7
2026-05-01,Este,desconocido,Alimentación,193,27,11,1703.49
2026-05-01,Este,desconocido,Deporte,457,121,8,811.57
2026-05-01,Oeste,web,Electrónica,365,54,28,1604.75
2026-05-01,Oeste,web,Moda,496,149,9,1517.16
2026-05-01,Oeste,web,Hogar,462,50,35,14518.63
2026-05-01,Oeste,web,Alimentación,352,29,2,119.44
2026-05-01,Oeste,web,Deporte,54,5,1,250.58
2026-05-01,Oeste,tienda,Electrónica,331,67,25,12138.97
2026-05-01,Oeste,,Moda,147,45,35,2948.72
2026-05-01,Oeste,tienda,Hogar,246,9,38,17416.14
2026-05-01,Oeste,tienda,Alimentación,251,78,19,2635.81
2026-05-01,Oeste,tienda,Deporte,100,17,13,1553.1
2026-05-01,Oeste,telefono,Electrónica,83,12,39,13351.85
2026-05-01,Oeste,telefono,Moda,428,54,12,4942.38
2026-05-01,Oeste,,Hogar,300,61,17,1433.56
2026-05-01,Oeste,telefono,Alimentación,390,18,2,812.84
2026-05-01,Oeste,telefono,Deporte,275,42,34,11070.04
2026-05-01,Oeste,app,Electrónica,357,42,33,13073.06
2026-05-01,Oeste,app,Moda,100,21,5,2011.53
2026-05-01,Oeste,app,Hogar,322,88,24,1008.32
2026-05-01,Oeste,app,Alimentación,175,47,43,5816.61
2026-05-01,Oeste,app,Deporte,232,20,8,851.46
2026-05-01,Oeste,desconocido,Electrónica,401,71,27,9191.55
2026-05-01,Oeste,desconocido,Moda,452,25,5,928.2
2026-05-01,Oeste,desconocido,Hogar,375,5,5,1205.87
2026-05-01,Oeste,desconocido,Alimentación,127,30,45,7846.19
2026-05-01,Oeste,desconocido,Deporte,263,60,30,
2026-05-02,Norte,web,Electrónica,341,5,8,3033.32
2026-05-02,Norte,web,Moda,176,26,14,4434.67
2026-05-02,Norte,web,Hogar,414,30,14,1272.81
2026-05-02,Norte,web,Alimentación,456,111,47,1627.45
2026-05-02,Norte,web,Deporte,420,19,25,9348.86
2026-05-02,Norte,tienda,Electrónica,322,90,26,7200.99
2026-05-02,Norte,tienda,Moda,74,8,10,3988.02
2026-05-02,Norte,tienda,Hogar,160,26,34,9782.35
2026-05-02,Norte,tienda,Alimentación,91,13,37,7188.34
2026-05-02,Norte,tienda,Deporte,489,63,45,
2026-05-02,Norte,telefono,Electrónica,326,74,6,828.36
2026-05-02,Norte,telefono,Moda,367,98,31,1448.12
2026-05-02,Norte,telefono,Hogar,80,12,37,18187.04
2026-05-02,Norte,telefono,Alimentación,269,79,4,90.18
2026-05-02,Norte,telefono,Deporte,484,66,2,574.49
2026-05-02,Norte,app,Electrónica,349,9,6,2907.82
2026-05-02,Norte,app,Moda,69,21,12,901.46
2026-05-02,Norte,app,Hogar,342,15,36,6260.7
2026-05-02,Norte,app,Alimentación,59,9,23,6520.1
2026-05-02,Norte,app,Deporte,133,5,37,788.15
2026-05-02,Norte,desconocido,Electrónica,87,27,35,6560.99
2026-05-02,Norte,desconocido,Moda,285,54,14,6549.34
2026-05-02,Norte,desconocido,Hogar,84,5,40,14654.65
2026-05-02,Norte,desconocido,Alimentación,316,18,30,12481.91
2026-05-02,Norte,desconocido,Deporte,127,30,4,687.1
2026-05-02,Sur,web,Electrónica,377,43,40,8037.33
2026-05-02,Sur,web,Moda,72,19,33,4338.25
2026-05-02,Sur,web,Hogar,358,108,40,12785.37
2026-05-02,Sur,web,Alimentación,440,46,15,6626.13
2026-05-02,Sur,web,Deporte,460,42,33,11858.57
2026-05-02,Sur,tienda,Electrónica,245,70,10,2571.11
2026-05-02,Sur,tienda,Moda,446,51,36,8616.96
2026-05-02,Sur,tienda,Hogar,185,9,29,3771.18
2026-05-02,Sur,tienda,Alimentación,144,40,36,13095.57
2026-05-02,Sur,tienda,Deporte,303,78,40,12001.12
2026-05-02,Sur,telefono,Electrónica,351,16,26,7836.15
2026-05-02,Sur,telefono,Moda,160,44,43,20098.92
2026-05-02,Sur,telefono,Hogar,425,41,8,2661.25
2026-05-02,Sur,telefono,Alimentación,442,55,29,2031.12
2026-05-02,Sur,telefono,Deporte,306,50,37,18230.78
2026-05-02,Sur,app,Electrónica,362,5,40,12471.57
2026-05-02,Sur,app,Moda,251,56,26,4682.07
2026-05-02,Sur,app,Hogar,124,42,2,487.07
2026-05-02,Sur,app,Alimentación,177,47,44,20157.27
2026-05-02,Sur,app,Deporte,229,37,49,19337.26
2026-05-02,Sur,desconocido,Electrónica,419,89,49,5167.41
2026-05-02,Sur,desconocido,Moda,167,26,28,7751.34
2026-05-02,Sur,desconocido,Hogar,273,17,30,11399.43
2026-05-02,Sur,desconocido,Alimentación,81,21,45,9058.88
2026-05-02,Sur,desconocido,Deporte,306,82,47,12843.73
2026-05-02,Centro,web,Electrónica,271,42,4,429.3
2026-05-02,Centro,web,Moda,337,14,10,4507.67
2026-05-02,Centro,web,Hogar,104,32,32,
2026-05-02,Centro,web,Alimentación,296,71,24,2739.22
2026-05-02,Centro,web,Deporte,298,71,33,9478.47
2026-05-02,Centro,tienda,Electrónica,137,18,32,13783.5
2026-05-02,Centro,tienda,Moda,214,58,21,4516.43
2026-05-02,Centro,,Hogar,379,11,33,3952.92
2026-05-02,Centro,tienda,Alimentación,85,22,2,914.2
2026-05-02,Centro,tienda,Deporte,435,123,12,5024.57
2026-05-02,Centro,telefono,Electrónica,442,57,44,5516.06
2026-05-02,Centro,telefono,Moda,130,14,30,7619.01
2026-05-02,Centro,telefono,Hogar,258,18,9,2519.86
2026-05-02,Centro,telefono,Alimentación,295,26,43,9563.97
2026-05-02,Centro,telefono,Deporte,147,27,37,1066.62
2026-05-02,Centro,app,Electrónica,405,45,38,1985.28
2026-05-02,Centro,app,Moda,125,27,42,3662.77
2026-05-02,Centro,app,Hogar,268,44,34,10480.44
2026-05-02,Centro,app,Alimentación,222,21,26,5566.68
2026-05-02,Centro,app,Deporte,179,58,43,4665.42
2026-05-02,Centro,desconocido,Electrónica,78,25,11,1744.3
2026-05-02,Centro,desconocido,Moda,344,108,35,16648.35
2026-05-02,Centro,desconocido,Hogar,455,73,33,4935.39
2026-05-02,Centro,desconocido,Alimentación,293,85,45,4240.92
2026-05-02,Centro,desconocido,Deporte,122,13,40,14781.22
2026-05-02,Este,web,Electrónica,91,29,39,
2026-05-02,Este,web,Moda,484,106,34,2362.49
2026-05-02,Este,web,Hogar,354,65,17,8093.94
2026-05-02,Este,web,Alimentación,367,84,24,9216.68
2026-05-02,Este,web,Deporte,423,84,6,2944.06
2026-05-02,Este,,Electrónica,108,30,41,19399.09
2026-05-02,Este,tienda,Moda,248,21,23,6596.1
2026-05-02,Este,tienda,Hogar,384,11,9,1012.03
2026-05-02,Este,tienda,Alimentación,131,35,30,1390.31
2026-05-02,Este,tienda,Deporte,152,21,14,4286.93
2026-05-02,Este,telefono,Electrónica,147,7,37,10157.51
2026-05-02,Este,telefono,Moda,88,19,49,13643.2
2026-05-02,Este,telefono,Hogar,210,20,45,
2026-05-02,Este,telefono,Alimentación,219,38,30,603.42
2026-05-02,Este,telefono,Deporte,145,39,39,957.57
2026-05-02,Este,app,Electrónica,367,112,16,7029.84
2026-05-02,Este,app,Moda,458,107,20,7480.79
2026-05-02,Este,app,Hogar,191,60,30,12880.63
2026-05-02,Este,app,Alimentación,481,77,15,3067.15
2026-05-02,Este,app,Deporte,342,65,37,2327.94
2026-05-02,Este,desconocido,Electrónica,351,92,11,4991.66
2026-05-02,Este,desconocido,Moda,309,63,8,3780.09
2026-05-02,Este,desconocido,Hogar,415,78,43,4503.54
2026-05-02,Este,desconocido,Alimentación,308,10,5,238.82
2026-05-02,Este,desconocido,Deporte,148,24,49,5070.02
2026-05-02,Oeste,web,Electrónica,111,21,24,10818.46
2026-05-02,Oeste,web,Moda,430,93,9,4046.06
2026-05-02,Oeste,web,Hogar,489,71,28,6966.54
2026-05-02,Oeste,web,Alimentación,219,13,15,5017.74
2026-05-02,Oeste,web,Deporte,173,19,38,5497.91
2026-05-02,Oeste,tienda,Electrónica,86,20,13,5841.55
2026-05-02,Oeste,tienda,Moda,350,100,29,13198.67
2026-05-02,Oeste,tienda,Hogar,89,31,13,1926.26
2026-05-02,Oeste,tienda,Alimentación,217,63,48,17280.68
2026-05-02,Oeste,tienda,Deporte,219,67,27,10295.21
2026-05-02,Oeste,telefono,Electrónica,363,35,23,516.8
2026-05-02,Oeste,telefono,Moda,88,22,36,10330.82
2026-05-02,Oeste,telefono,Hogar,499,17,46,8127.65
2026-05-02,Oeste,telefono,Alimentación,403,64,24,9911.19
2026-05-02,Oeste,telefono,Deporte,123,36,34,6259.35
2026-05-02,Oeste,app,Electrónica,327,72,20,7003.7
2026-05-02,Oeste,app,Moda,66,16,22,7922.52
2026-05-02,Oeste,app,Hogar,169,22,14,6821.85
2026-05-02,Oeste,,Alimentación,276,56,12,381.62
2026-05-02,Oeste,app,Deporte,128,36,11,3827.8
2026-05-02,Oeste,desconocido,Electrónica,334,8,17,1173.9
2026-05-02,Oeste,desconocido,Moda,334,33,11,1385.66
2026-05-02,Oeste,desconocido,Hogar,71,15,27,11789.98
2026-05-02,Oeste,desconocido,Alimentación,70,19,16,6904.53
2026-05-02,Oeste,desconocido,Deporte,436,5,38,4954.37
2026-05-03,Norte,web,Electrónica,330,28,12,3481.44
2026-05-03,Norte,web,Moda,109,29,17,1083.9
2026-05-03,Norte,web,Hogar,99,24,7,2244.1
2026-05-03,Norte,web,Alimentación,365,7,20,8046.76
2026-05-03,Norte,web,Deporte,322,88,36,10369.37
2026-05-03,Norte,tienda,Electrónica,263,6,24,5471.0
2026-05-03,Norte,tienda,Moda,326,22,30,6251.91
2026-05-03,Norte,tienda,Hogar,81,15,45,17252.48
2026-05-03,Norte,tienda,Alimentación,316,90,24,2161.02
2026-05-03,Norte,tienda,Deporte,129,26,28,
2026-05-03,Norte,telefono,Electrónica,402,6,33,2051.81
2026-05-03,Norte,telefono,Moda,165,30,22,3841.32
2026-05-03,Norte,telefono,Hogar,171,54,15,1741.08
2026-05-03,Norte,telefono,Alimentación,366,71,6,1832.96
2026-05-03,Norte,telefono,Deporte,90,22,12,5256.78
2026-05-03,Norte,app,Electrónica,367,115,7,2360.36
2026-05-03,Norte,app,Moda,71,7,41,4047.51
2026-05-03,Norte,app,Hogar,61,16,13,3250.7
2026-05-03,Norte,app,Alimentación,287,49,8,3507.84
2026-05-03,Norte,app,Deporte,349,86,6,2191.3
2026-05-03,Norte,desconocido,Electrónica,410,63,3,177.4
2026-05-03,Norte,desconocido,Moda,487,101,7,1694.41
2026-05-03,Norte,desconocido,Hogar,494,28,20,6436.14
2026-05-03,Norte,desconocido,Alimentación,493,54,49,
2026-05-03,Norte,desconocido,Deporte,403,104,2,613.81
2026-05-03,Sur,web,Electrónica,292,62,12,2450.96
2026-05-03,Sur,web,Moda,274,30,8,1716.39
2026-05-03,Sur,web,Hogar,63,18,2,213.74
2026-05-03,Sur,web,Alimentación,367,64,47,14316.24
2026-05-03,Sur,web,Deporte,280,74,17,3531.23
2026-05-03,Sur,tienda,Electrónica,278,9,1,391.27
2026-05-03,Sur,tienda,Moda,352,35,11,4885.99
2026-05-03,Sur,tienda,Hogar,142,14,12,5014.37
2026-05-03,Sur,tienda,Alimentación,220,5,20,4041.84
2026-05-03,Sur,tienda,Deporte,253,41,49,20834.89
2026-05-03,Sur,,Electrónica,256,10,44,12282.81
2026-05-03,Sur,telefono,Moda,342,24,26,1011.01
2026-05-03,Sur,telefono,Hogar,294,63,5,347.94
2026-05-03,Sur,,Alimentación,325,57,24,8382.35
2026-05-03,Sur,telefono,Deporte,334,61,39,9292.73
2026-05-03,Sur,app,Electrónica,477,42,20,1607.12
2026-05-03,Sur,app,Moda,483,128,8,3884.46
2026-05-03,Sur,app,Hogar,401,106,5,2412.03
2026-05-03,Sur,app,Alimentación,168,30,43,14962.24
2026-05-03,Sur,app,Deporte,185,51,40,15555.57
2026-05-03,Sur,desconocido,Electrónica,338,5,19,8960.78
2026-05-03,Sur,desconocido,Moda,410,94,28,2700.82
2026-05-03,Sur,desconocido,Hogar,210,45,25,10949.04
2026-05-03,Sur,desconocido,Alimentación,373,102,38,6725.08
2026-05-03,Sur,desconocido,Deporte,131,17,41,7062.41
2026-05-03,Centro,web,Electrónica,359,75,25,4440.57
2026-05-03,Centro,web,Moda,192,25,19,3923.65
2026-05-03,Centro,web,Hogar,340,48,38,2095.09
2026-05-03,Centro,web,Alimentación,379,70,46,11969.83
2026-05-03,Centro,web,Deporte,499,121,29,5330.17
2026-05-03,Centro,tienda,Electrónica,342,83,44,10947.81
2026-05-03,Centro,tienda,Moda,351,47,45,18663.7
2026-05-03,Centro,tienda,Hogar,166,19,25,8356.32
2026-05-03,Centro,tienda,Alimentación,190,26,19,1304.96
2026-05-03,Centro,tienda,Deporte,101,18,27,12587.69
2026-05-03,Centro,telefono,Electrónica,155,40,30,10912.57
2026-05-03,Centro,telefono,Moda,394,98,11,870.62
2026-05-03,Centro,telefono,Hogar,208,11,49,14323.18
2026-05-03,Centro,telefono,Alimentación,423,11,1,199.28
2026-05-03,Centro,telefono,Deporte,190,59,22,9090.63
2026-05-03,Centro,app,Electrónica,58,19,10,1038.91
2026-05-03,Centro,app,Moda,201,20,49,6551.2
2026-05-03,Centro,app,Hogar,68,8,39,13276.53
2026-05-03,Centro,app,Alimentación,488,73,47,6246.91
2026-05-03,Centro,app,Deporte,198,21,22,689.62
2026-05-03,Centro,desconocido,Electrónica,209,15,10,1433.04
2026-05-03,Centro,desconocido,Moda,458,6,35,10730.39
2026-05-03,Centro,desconocido,Hogar,174,43,41,14447.14
2026-05-03,Centro,desconocido,Alimentación,68,8,26,4728.59
2026-05-03,Centro,desconocido,Deporte,85,12,37,16620.83
2026-05-03,Este,web,Electrónica,428,74,41,12965.63
2026-05-03,Este,web,Moda,493,9,44,5816.0
2026-05-03,Este,web,Hogar,99,7,44,7729.93
2026-05-03,Este,web,Alimentación,264,48,2,388.43
2026-05-03,Este,web,Deporte,165,12,22,6377.85
2026-05-03,Este,tienda,Electrónica,336,51,16,3464.79
2026-05-03,Este,tienda,Moda,61,21,16,5426.52
2026-05-03,Este,,Hogar,286,27,28,13652.77
2026-05-03,Este,tienda,Alimentación,297,69,30,8101.79
2026-05-03,Este,tienda,Deporte,280,36,33,10298.42
2026-05-03,Este,telefono,Electrónica,191,40,33,4261.34
2026-05-03,Este,telefono,Moda,307,95,9,2382.01
2026-05-03,Este,telefono,Hogar,203,8,18,4815.47
2026-05-03,Este,telefono,Alimentación,391,64,37,7684.92
2026-05-03,Este,telefono,Deporte,215,49,35,12028.3
2026-05-03,Este,app,Electrónica,116,20,7,1163.72
2026-05-03,Este,app,Moda,115,31,2,254.67
2026-05-03,Este,app,Hogar,315,29,2,167.22
2026-05-03,Este,app,Alimentación,319,69,46,20753.62
2026-05-03,Este,app,Deporte,474,138,25,8495.68
2026-05-03,Este,desconocido,Electrónica,74,19,4,233.53
2026-05-03,Este,desconocido,Moda,141,17,31,8151.39
2026-05-03,Este,desconocido,Hogar,439,97,43,13648.3
2026-05-03,Este,desconocido,Alimentación,54,6,10,1216.43
2026-05-03,Este,desconocido,Deporte,464,60,15,7382.49
2026-05-03,Oeste,web,Electrónica,378,32,46,3151.09
2026-05-03,Oeste,web,Moda,309,8,39,5064.91
2026-05-03,Oeste,web,Hogar,270,56,36,9827.28
2026-05-03,Oeste,web,Alimentación,165,39,7,1905.7
2026-05-03,Oeste,web,Deporte,135,9,2,168.45
2026-05-03,Oeste,tienda,Electrónica,198,14,23,1973.69
2026-05-03,Oeste,tienda,Moda,262,57,18,918.29
2026-05-03,Oeste,tienda,Hogar,237,15,21,8931.12
2026-05-03,Oeste,tienda,Alimentación,245,38,48,17948.71
2026-05-03,Oeste,tienda,Deporte,485,46,21,10058.72
2026-05-03,Oeste,telefono,Electrónica,169,13,41,14362.49
2026-05-03,Oeste,telefono,Moda,59,22,40,9660.37
2026-05-03,Oeste,telefono,Hogar,492,83,17,883.88
2026-05-03,Oeste,,Alimentación,465,91,37,1589.48
2026-05-03,Oeste,,Deporte,434,113,24,1693.83
2026-05-03,Oeste,app,Electrónica,281,62,31,5032.45
2026-05-03,Oeste,app,Moda,440,32,43,9366.38
2026-05-03,Oeste,app,Hogar,57,14,38,2266.95
2026-05-03,Oeste,app,Alimentación,185,44,25,
2026-05-03,Oeste,app,Deporte,341,72,14,745.39
2026-05-03,Oeste,desconocido,Electrónica,304,14,21,1682.35
2026-05-03,Oeste,desconocido,Moda,318,57,32,12130.4
2026-05-03,Oeste,desconocido,Hogar,60,14,15,1097.82
2026-05-03,Oeste,desconocido,Alimentación,364,82,25,2464.21
2026-05-03,Oeste,desconocido,Deporte,221,36,46,1200.74
2026-05-04,Norte,web,Electrónica,271,43,49,7058.31
2026-05-04,Norte,web,Moda,198,12,46,17005.07
2026-05-04,Norte,web,Hogar,252,26,43,6419.0
2026-05-04,Norte,web,Alimentación,307,33,21,7737.88
2026-05-04,Norte,web,Deporte,456,92,44,16356.77
2026-05-04,Norte,tienda,Electrónica,233,7,19,1762.31
2026-05-04,Norte,tienda,Moda,330,12,42,12090.13
2026-05-04,Norte,tienda,Hogar,52,5,4,270.42
2026-05-04,Norte,tienda,Alimentación,59,18,39,12292.39
2026-05-04,Norte,,Deporte,442,90,42,16181.57
2026-05-04,Norte,telefono,Electrónica,63,6,20,3538.54
2026-05-04,Norte,telefono,Moda,361,87,37,2954.92
2026-05-04,Norte,telefono,Hogar,443,28,35,
2026-05-04,Norte,telefono,Alimentación,408,25,10,3174.03
2026-05-04,Norte,telefono,Deporte,69,21,7,1756.07
2026-05-04,Norte,app,Electrónica,385,62,4,181.38
2026-05-04,Norte,app,Moda,452,64,19,4924.09
2026-05-04,Norte,app,Hogar,158,16,30,14740.36
2026-05-04,Norte,app,Alimentación,68,20,45,4084.97
2026-05-04,Norte,app,Deporte,195,56,49,15050.26
2026-05-04,Norte,desconocido,Electrónica,167,49,33,7332.57
2026-05-04,Norte,desconocido,Moda,448,51,14,5301.32
2026-05-04,Norte,,Hogar,374,65,10,
2026-05-04,Norte,desconocido,Alimentación,303,74,17,7925.67
2026-05-04,Norte,desconocido,Deporte,84,18,26,11411.67
2026-05-04,Sur,web,Electrónica,98,25,10,4699.3
2026-05-04,Sur,web,Moda,175,43,39,10073.75
2026-05-04,Sur,web,Hogar,375,45,46,14393.77
2026-05-04,Sur,web,Alimentación,201,29,36,951.6
2026-05-04,Sur,web,Deporte,391,96,7,969.85
2026-05-04,Sur,tienda,Electrónica,385,20,31,7312.13
2026-05-04,Sur,tienda,Moda,350,104,43,2153.16
2026-05-04,Sur,tienda,Hogar,245,54,33,12886.23
2026-05-04,Sur,tienda,Alimentación,209,60,11,5306.72
2026-05-04,Sur,tienda,Deporte,475,124,14,5191.12
2026-05-04,Sur,telefono,Electrónica,180,27,26,2906.06
2026-05-04,Sur,telefono,Moda,390,16,41,1253.65
2026-05-04,Sur,telefono,Hogar,376,90,33,8950.51
2026-05-04,Sur,telefono,Alimentación,491,47,41,16400.66
2026-05-04,Sur,telefono,Deporte,247,69,10,995.72
2026-05-04,Sur,app,Electrónica,115,14,34,14747.63
2026-05-04,Sur,app,Moda,125,28,47,12502.06
2026-05-04,Sur,app,Hogar,241,67,49,5716.08
2026-05-04,Sur,,Alimentación,432,72,46,17570.7
2026-05-04,Sur,app,Deporte,128,26,28,3993.83
2026-05-04,Sur,desconocido,Electrónica,333,30,49,1618.98
2026-05-04,Sur,desconocido,Moda,93,5,42,10875.9
2026-05-04,Sur,desconocido,Hogar,138,23,5,2414.74
2026-05-04,Sur,desconocido,Alimentación,457,45,36,5496.91
2026-05-04,Sur,desconocido,Deporte,448,108,18,1724.73
2026-05-04,Centro,web,Electrónica,312,84,3,582.87
2026-05-04,Centro,web,Moda,466,133,8,3592.92
2026-05-04,Centro,web,Hogar,309,74,46,2762.89
2026-05-04,Centro,web,Alimentación,351,20,1,220.53
2026-05-04,Centro,web,Deporte,318,38,4,1994.39
2026-05-04,Centro,tienda,Electrónica,177,31,5,1443.41
2026-05-04,Centro,tienda,Moda,467,130,5,2436.3
2026-05-04,Centro,tienda,Hogar,483,138,19,7307.39
2026-05-04,Centro,tienda,Alimentación,413,112,9,1725.69
2026-05-04,Centro,tienda,Deporte,335,94,48,17364.8
2026-05-04,Centro,telefono,Electrónica,212,56,34,6358.4
2026-05-04,Centro,telefono,Moda,490,27,48,14259.83
2026-05-04,Centro,telefono,Hogar,399,19,27,8758.48
2026-05-04,Centro,telefono,Alimentación,115,39,40,873.29
2026-05-04,Centro,telefono,Deporte,197,64,1,421.78
2026-05-04,Centro,app,Electrónica,53,14,25,3086.36
2026-05-04,Centro,app,Moda,362,57,46,17684.21
2026-05-04,Centro,app,Hogar,442,103,13,5868.81
2026-05-04,Centro,app,Alimentación,268,27,27,5591.28
2026-05-04,Centro,app,Deporte,377,66,35,7634.39
2026-05-04,Centro,desconocido,Electrónica,418,29,40,15006.16
2026-05-04,Centro,desconocido,Moda,481,87,46,21029.81
2026-05-04,Centro,desconocido,Hogar,222,67,9,1496.52
2026-05-04,Centro,desconocido,Alimentación,480,146,38,2953.31
2026-05-04,Centro,desconocido,Deporte,314,68,33,8085.28
2026-05-04,Este,web,Electrónica,276,63,14,5274.26
2026-05-04,Este,web,Moda,313,6,41,7322.43
2026-05-04,Este,web,Hogar,304,59,16,2159.44
2026-05-04,Este,web,Alimentación,84,15,46,19813.77
2026-05-04,Este,web,Deporte,325,71,44,3307.38
2026-05-04,Este,tienda,Electrónica,373,39,17,
2026-05-04,Este,tienda,Moda,392,51,40,6885.37
2026-05-04,Este,tienda,Hogar,410,23,26,2577.01
2026-05-04,Este,tienda,Alimentación,87,24,29,9483.31
2026-05-04,Este,tienda,Deporte,309,26,12,3048.96
2026-05-04,Este,telefono,Electrónica,211,31,41,10783.32
